fighter,elo
Virna Jandiroba,1587.673012683178
Gillian Robertson,1587.1348489931358
Sergei Pavlovich,1586.7621093368086
Jose Aldo,1586.337581398738
Cristiane Justino,1586.3162186049979
Tj Grant,1586.2673003528212
Tatsuro Taira,1585.7656990428088
Rich Franklin,1585.047811868139
Robbie Lawler,1584.1081181186844
Dominick Cruz,1584.070388163398
Junyong Park,1583.6852285304512
Bryce Mitchell,1583.6255410026113
Muslim Salikhov,1583.5749843664612
Zak Cummings,1583.2721508078887
Rob Font,1583.1977345355563
Alonzo Menifield,1582.8144246725867
Joseph Benavidez,1581.4727199998702
Kyoji Horiguchi,1580.891058938233
Renato Moicano,1580.8282683828506
Martin Buday,1580.8041226412602
Nathaniel Wood,1580.5211283011834
Aiemann Zahabi,1580.4960619708065
Jean Silva,1580.3503838010267
Joel Alvarez,1580.3488811539219
Rinat Fakhretdinov,1579.9793045786694
Matthew Riddle,1579.9599681034629
Azamat Murzakanov,1579.8931458754082
Marlon Vera,1579.5413959222524
Chepe Mariscal,1578.4963704274664
Tyron Woodley,1577.9873526424515
Josh Barnett,1577.9751591319246
James Krause,1577.8941362815142
Julianna Pena,1577.5655370350173
Steve Garcia,1577.5507732586384
Fares Ziam,1577.2505875447591
Elias Theodorou,1577.135972730965
Nate Diaz,1577.0194945822386
Umar Nurmagomedov,1576.993365495466
Gilbert Burns,1576.9691523324846
Tim Sylvia,1576.5341981717559
Dominick Reyes,1576.5213363404107
Roman Dolidze,1576.5046046548252
Corey Anderson,1576.4215813702954
Marcin Tybura,1576.2656172128973
Oleg Taktarov,1576.2547966678212
Gregory Rodrigues,1575.827032078258
Alistair Overeem,1575.5394621532082
Omari Akhmedov,1575.0994670822122
Michel Prazeres,1575.0405729786964
Tracy Cortez,1575.0160366275668
Mark Kerr,1574.9546708920116
Tagir Ulanbekov,1574.7879419828007
Rick Story,1574.6570884523633
Ricky Simon,1574.1764145738755
Ronda Rousey,1573.8649528604083
Josh Emmett,1573.8505488101262
Jonathan Martinez,1573.5000263815596
Chris Weidman,1573.476167588868
Shane Burgos,1573.2912434633938
Bryan Battle,1573.1660559808251
Ludovit Klein,1573.0900346987673
Carlos Prates,1572.7507733598804
Reinier De Ridder,1572.5096074133812
Yushin Okami,1572.459067889306
Matt Lindland,1572.3955909096737
Anthony Pettis,1571.7236377718962
Phil Davis,1571.1547730699663
Pat Sabatini,1571.1334472391634
Erik Perez,1570.9854423091172
Amanda Lemos,1570.842157411328
John Hathaway,1570.74094479072
Mairbek Taisumov,1570.696792299115
Waldo Cortes-Acosta,1570.1897514920418
Rafael Dos Anjos,1570.0540119925186
Dan Severn,1569.9560294631458
Rory Macdonald,1569.8572090485015
Ricardo Lamas,1569.7885554452232
Elizeu Zaleski Dos Santos,1569.5697594195415
Ryan Hall,1569.4750259853724
Yoel Romero,1569.2479914550877
Jan Blachowicz,1569.0420047240145
Gabriel Bonfim,1568.8736125169787
Giga Chikadze,1568.8105250861524
Ketlen Vieira,1568.8061464252078
Benoit Saint Denis,1568.5749612591123
Vinicius Oliveira,1568.3523038440467
Darren Elkins,1567.9070645296167
Junior Dos Santos,1567.7489304352496
Jared Gordon,1566.8963817074352
Loma Lookboonmee,1566.5793860848123
Mackenzie Dern,1566.4653189037367
Sean Sherk,1566.354025119419
Kenny Florian,1566.2695896557357
Cub Swanson,1566.128572024071
Krzysztof Jotko,1565.9318422279557
Raoni Barcelos,1565.8545801576397
David Onama,1565.8004173208112
Germaine De Randamie,1565.7601624132978
Katlyn Cerminara,1565.6456044103966
Rashid Magomedov,1565.2860333966266
Carla Esparza,1564.7582034589916
Matt Hamill,1564.6171384815364
Diego Ferreira,1564.3406081846153
Mike Malott,1564.1796686632952
Kayla Harrison,1564.0429885571627
Yan Xiaonan,1563.6331668430412
Farid Basharat,1563.0561226012728
Brian Ortega,1563.0550720332528
Martin Kampmann,1563.0214095930814
David Teymur,1562.8825576989427
Andre Petroski,1562.5514483969334
Tabatha Ricci,1562.421745189407
Joe Pyfer,1562.304982223896
Anthony Rocco Martin,1562.1394354159502
Jack Hermansson,1561.7844428469966
Chris Duncan,1561.6694888778384
Thiago Silva,1561.63952119879
Johnny Walker,1561.1944932868737
Jim Miller,1561.0204427773544
Jacqueline Cavalcanti,1560.9627219463457
Ailin Perez,1560.9170898599643
Jordan Johnson,1560.8921190907163
Jiri Prochazka,1560.3301158267002
Enrique Barzola,1560.168624330287
Asu Almabayev,1560.1351085506055
Loopy Godinez,1560.0630381100214
William Gomis,1559.8093187177894
Andre Lima,1559.7671193335975
Amir Albazi,1559.545325714069
Jens Pulver,1559.0938504709463
Muhammad Naimov,1559.0123120658754
Ryan Laflare,1558.909490226888
Gunnar Nelson,1558.8711691668602
Diego Lopes,1558.7872427076509
Karine Silva,1558.6288043674456
Marcos Rogerio De Lima,1558.4632134590818
Dustin Jacoby,1558.170758737533
Mike Pierce,1557.7415617683089
Shara Magomedov,1557.5845901943592
Rafael Fiziev,1557.406583729893
Miranda Maverick,1557.297337926225
Macy Chiasson,1557.0946892180086
Thales Leites,1557.0351174657935
Alexandr Romanov,1556.9316333503346
Taylor Lapilus,1556.8189150739233
Rousimar Palhares,1556.7678595029574
Geoff Neal,1556.735736729286
Raul Rosas Jr.,1556.6175828945982
Quinton Jackson,1556.393866292694
Paul Felder,1556.3497540275048
Manel Kape,1556.2019112113578
Jared Cannonier,1555.9988395929988
Sergio Pettis,1555.8323069268947
Jared Rosholt,1555.79640731975
Sage Northcutt,1555.5394999548796
Chase Hooper,1555.5260870704694
Mairon Santos,1555.1505864033738
Tecia Pennington,1554.7588520468762
Sean Woodson,1554.6480595759033
Chas Skelly,1554.572181383453
Frankie Edgar,1554.4873119574345
Melquizael Costa,1554.4232398172487
Michel Pereira,1554.3614032953592
Brandon Royval,1554.2322989698791
Tito Ortiz,1554.0619314390262
Johny Hendricks,1554.038539329199
Murilo Bustamante,1553.78424185387
Vitor Belfort,1553.6444375883186
Kelvin Gastelum,1553.0878716503562
Edson Barboza,1553.0870622562484
Paulo Costa,1552.9890835839421
Santiago Ponzinibbio,1552.8192224568995
Mike Swick,1552.7167315914296
Roger Huerta,1552.6437390639542
Suyoung You,1552.5192452897738
Joanna Jedrzejczyk,1552.2145208326288
Jairzinho Rozenstruik,1552.1128429675564
Khalil Rountree Jr.,1551.9215369328629
Raphael Assuncao,1551.2507879120412
Chris Curtis,1551.2426967371343
Thiago Santos,1551.1367252772404
Li Jingliang,1551.0073500568053
Stephen Thompson,1550.7591211189365
Nate Quarry,1550.7390187103615
Bogdan Guskov,1550.501109710759
Myles Jury,1550.228239717533
Askar Askarov,1549.9707678267314
Diego Sanchez,1549.729182735831
Victor Henry,1549.5268376115519
Rashad Evans,1549.480821175717
Chad Mendes,1549.475986353106
Modestas Bukauskas,1549.3549970754602
Iasmin Lucindo,1548.897254792043
Melvin Guillard,1548.7608468211013
Guy Mezger,1548.6229433546055
Karol Rosa,1548.1881964851632
Ruslan Magomedov,1548.1215655129974
Kevin Holland,1548.110635684894
Sam Patterson,1548.0356076228522
Denise Gomes,1547.9548642872908
Marcus Mcghee,1547.9479546986165
Ignacio Bahamondes,1547.805880262474
Alan Belcher,1547.771115983689
Jaqueline Amorim,1547.4967205376015
Matt Mitrione,1547.3872199973925
Rinya Nakamura,1547.3857107554345
James Vick,1547.3665899768744
Nursulton Ruziboev,1546.9922532595274
Mike Davis,1546.9888405649654
Tony Ferguson,1546.7348282069051
Mark Munoz,1546.635403998395
Rafael Estevam,1546.6209534332343
Rani Yahya,1546.4873737177454
Matt Brown,1546.4237851584508
Andre Muniz,1546.1933491353275
Nazim Sadykhov,1546.1682604689788
Brett Johns,1546.1674114524333
Manuel Torres,1546.1249122796619
Alexa Grasso,1546.052994520677
Mick Parkin,1546.0425685693274
Mark Bocek,1546.0364864336598
Edmen Shahbazyan,1545.9753676099938
Youssef Zalal,1545.91910509625
Rodolfo Bellato,1545.5917137133893
Makhmud Muradov,1545.5857648726692
Payton Talbott,1545.5179891542073
Christian Leroy Duncan,1545.353573728923
Alexander Hernandez,1545.3312243502237
